Number_Of_Points,Running_Time_In_Microseconds
1987,2672984
1988,2667278
1989,2636139
1990,2630024
1991,2676791
1992,2669108
1993,2637423
1994,2686380
1995,2682323
1996,2664442
1997,2724644
1998,2712003
1999,2675553
2000,2708771
